user_id,speech_prob_calm,speech_prob_stressed,speech_prob_sad,speech_prob_anxious,speech_prob_neutral,speech_prob_energetic,dominant_speech_emotion,pitch_mean_hz,pitch_variance,energy_mean,speech_rate_wpm,pause_ratio,jitter,shimmer,speech_embed_0,speech_embed_1,speech_embed_2,speech_embed_3,speech_embed_4,speech_embed_5,speech_embed_6,speech_embed_7,speech_embed_8,speech_embed_9,speech_embed_10,speech_embed_11,speech_embed_12,speech_embed_13,speech_embed_14,speech_embed_15
U00001,0.3007,0.1798,0.083,0.1169,0.2456,0.074,calm,203.0,43.36,0.692,142.2,0.15,0.0064,0.0306,1.0957,0.7485,-0.5919,-0.4085,-0.372,-0.6311,0.1485,0.6556,2.2169,-0.0729,0.6106,-1.095,0.0218,-0.2405,0.5814,0.4053
U00002,0.2723,0.1454,0.1233,0.1046,0.2924,0.0619,neutral,213.1,32.16,0.45,152.8,0.112,0.0149,0.0307,-1.4458,-0.0989,-2.6191,0.3449,-0.1435,-0.8317,0.7165,0.2784,-1.5024,0.3618,0.2788,-0.6735,-0.4531,1.4102,0.1807,-1.4619
U00003,0.2246,0.15,0.1826,0.1624,0.271,0.0095,neutral,184.0,38.22,0.402,128.2,0.261,0.0148,0.0402,-1.1023,-1.368,-0.5474,0.3035,-0.4918,-0.7223,-1.8489,-0.8961,-0.9568,-0.3348,-0.3743,1.9064,-0.7811,0.3836,0.4125,0.207
U00004,0.2499,0.201,0.0944,0.1368,0.2945,0.0234,neutral,156.1,42.46,0.546,128.5,0.278,0.0117,0.0446,1.5247,-0.365,-2.1059,-0.9477,-2.1788,-1.0798,1.2086,-0.9067,-1.286,1.3752,-0.3713,0.0509,-1.2702,1.0512,-0.1415,0.6068
U00005,0.2278,0.1794,0.1375,0.1103,0.285,0.0601,neutral,189.1,33.37,0.675,115.2,0.233,0.0044,0.0601,1.3195,-0.2196,0.2454,-0.1076,-0.7946,-0.911,-0.2153,-2.844,1.1374,1.5331,-0.4346,1.2666,-0.6873,-0.7402,0.0275,0.3461
U00006,0.2534,0.1607,0.1452,0.0698,0.3012,0.0696,neutral,172.2,27.84,0.56,121.3,0.272,0.0121,0.0479,-0.8212,0.7804,0.3599,-1.9746,-0.3729,2.3471,0.6606,-1.29,-0.6569,0.6425,0.1529,-1.7008,-1.9452,0.5254,-0.4673,0.8836
U00007,0.2804,0.1168,0.1279,0.1215,0.3059,0.0474,neutral,154.1,31.38,0.429,159.7,0.178,0.014,0.0315,-0.0172,0.4296,0.0618,-1.8134,-0.6221,1.865,0.1949,-0.6254,-0.6878,1.2257,0.351,-1.4411,1.8216,0.1052,0.0817,1.3026
U00008,0.2963,0.1526,0.08,0.1302,0.2726,0.0682,calm,188.4,14.12,0.555,159.2,0.056,0.0087,0.019,0.3821,-0.6394,0.9872,-1.4486,0.0602,-0.9724,-0.1202,-0.4648,0.5661,0.1513,1.011,-0.2334,-1.0498,0.4764,-0.2111,-0.403
U00009,0.1891,0.153,0.1912,0.1841,0.2486,0.034,neutral,192.2,32.67,0.51,132.3,0.379,0.024,0.0459,0.47,-1.9597,-0.2891,-2.2078,-0.3516,-1.2603,0.45,-0.3748,-0.8285,-0.812,-2.6519,0.4287,0.9234,0.3247,-0.9521,-1.3238
U00010,0.2096,0.1625,0.0788,0.0935,0.3409,0.1147,neutral,174.6,37.98,0.445,160.7,0.236,0.0173,0.0202,-0.3742,-0.8071,1.09,-0.8264,-0.5295,-2.14,-0.1273,-0.1775,-0.5699,0.9936,-0.2606,-0.9097,-1.0811,0.4687,-1.9016,-0.9435
U00011,0.2218,0.158,0.1447,0.1897,0.2672,0.0185,neutral,219.3,32.89,0.524,163.7,0.185,0.024,0.058,-1.071,-0.9129,0.3954,1.1096,0.4887,-0.3815,0.1948,0.3726,-0.0258,-0.7908,0.4776,-0.602,-2.2295,-1.7029,0.9575,-1.4068
U00012,0.1971,0.1948,0.1425,0.2081,0.2423,0.0152,neutral,160.9,21.0,0.627,123.7,0.134,0.014,0.0358,-1.0492,0.9104,-0.1592,0.4887,1.9098,-1.1777,-0.1528,-1.7762,1.1543,-0.5905,-3.4671,-1.7173,1.1045,-2.2107,-0.485,0.1093
U00013,0.183,0.2552,0.1541,0.1449,0.2147,0.048,stressed,144.2,39.85,0.608,138.1,0.375,0.0073,0.0587,-0.3263,-1.0712,-1.0552,1.2115,-1.3642,-1.3124,1.0833,-0.2312,-0.0351,-1.5623,-1.5773,1.2283,-0.1972,-0.5597,-0.8655,-0.6925
U00014,0.1798,0.1894,0.1326,0.1511,0.2729,0.0742,neutral,214.9,30.94,0.444,113.9,0.297,0.0199,0.0424,0.8322,-1.0379,-0.3473,-1.6048,-0.5793,-0.923,0.1597,-0.8229,0.7506,-2.1431,0.1238,-3.2014,-0.5549,0.7418,-0.5493,0.7773
U00015,0.2657,0.1303,0.0923,0.1677,0.284,0.06,neutral,207.0,21.03,0.447,155.7,0.185,0.0076,0.0312,1.6767,-1.1269,-0.1123,-0.4062,0.8885,-1.3449,-0.7919,-0.4482,-0.8009,0.3161,0.5828,0.3055,-1.8843,-0.4506,-0.3649,-1.2631
U00016,0.208,0.1892,0.147,0.0976,0.2836,0.0746,neutral,169.6,37.24,0.453,116.3,0.176,0.008,0.0307,0.247,0.2481,0.1202,0.0496,-1.3183,-1.0448,0.9116,1.5343,-0.2536,0.0554,1.8811,-0.6694,-0.0767,-0.9039,-2.3638,-0.8349
U00017,0.2078,0.1688,0.1947,0.1563,0.2568,0.0156,neutral,174.5,38.06,0.434,137.9,0.384,0.0137,0.0504,-1.2755,-0.5134,0.4364,0.465,-0.9871,0.3848,-0.2398,-0.4019,-0.247,-0.5472,-1.3937,-0.6621,0.9075,-1.1445,2.7141,-1.2743
U00018,0.2293,0.1474,0.1719,0.1245,0.2933,0.0336,neutral,210.9,26.98,0.482,148.2,0.302,0.0122,0.0447,-0.9508,-0.2396,-2.1095,1.0419,-1.0453,0.0459,-1.6016,-2.1024,0.2304,0.2087,0.4114,-0.082,0.7397,-0.0961,-1.362,1.9643
U00019,0.2451,0.1321,0.1178,0.1356,0.2758,0.0936,neutral,169.2,35.69,0.408,167.3,0.332,0.0166,0.0114,-0.6018,0.9123,-1.1868,-1.4166,0.069,-0.5479,-0.6044,-1.466,1.6247,-1.0471,-0.5006,0.3494,-0.2987,-0.5491,0.8685,0.297
U00020,0.3191,0.1057,0.0732,0.1535,0.2941,0.0545,calm,174.0,30.21,0.398,141.9,0.162,0.0043,0.0427,-1.3576,0.592,0.0964,2.485,0.005,-1.4581,-1.3229,-0.3737,-2.5499,-1.4051,0.5697,2.1099,-0.1561,-1.114,0.9755,1.2515
U00021,0.1845,0.1976,0.1885,0.1735,0.238,0.0179,neutral,166.2,30.22,0.526,135.9,0.152,0.0182,0.054,-0.6108,-0.5159,1.0377,0.7419,0.1133,0.9913,0.7418,-0.5497,-0.0453,-0.3111,1.5467,-0.0014,-0.0777,1.439,-0.259,-0.7668
U00022,0.1498,0.1825,0.171,0.2078,0.2794,0.0096,neutral,198.7,22.33,0.594,160.7,0.135,0.0122,0.0464,1.332,-0.4819,-0.0393,-0.176,-1.9823,-0.7703,-1.1885,-0.1947,-1.1131,-0.3976,-0.4822,-0.3995,0.6379,-0.0438,-0.6743,0.0672
U00023,0.181,0.1628,0.193,0.1569,0.2346,0.0717,neutral,209.3,35.56,0.545,131.3,0.301,0.0173,0.0404,-0.2096,-1.5885,-1.0395,-2.52,-0.7952,-0.2148,-1.9114,-0.088,-2.6663,-1.0579,-0.5679,-0.4907,-0.2366,-2.1269,-0.3029,0.2112
U00024,0.271,0.1211,0.0759,0.1504,0.2632,0.1184,calm,226.7,27.71,0.45,144.3,0.248,0.0071,0.0119,1.013,-0.0946,-0.346,-0.0634,-0.9395,-0.3122,0.1417,0.3657,-0.0884,-2.5356,-0.4471,-0.075,0.0087,-0.5556,1.8343,-0.5737
U00025,0.2779,0.1077,0.1266,0.0738,0.3258,0.0881,neutral,172.1,28.47,0.451,141.5,0.177,0.0089,0.0408,2.0881,-0.3583,-2.3642,-0.4806,-0.2394,0.6225,-0.8431,-0.8253,-0.851,-1.4199,-1.9157,-0.049,-1.5826,-0.4384,0.5184,-1.0505
U00026,0.2232,0.1746,0.12,0.1651,0.2695,0.0477,neutral,199.5,51.33,0.471,129.7,0.267,0.0108,0.0529,-1.8814,-1.5317,-0.6324,-1.4459,-0.123,-0.2051,0.2303,0.0834,-0.2692,-0.5745,0.2094,-0.4919,0.9086,0.4034,-0.7632,0.697
U00027,0.2701,0.2018,0.1583,0.1046,0.2375,0.0277,calm,206.5,54.15,0.535,144.3,0.249,0.0167,0.0503,-0.8416,0.2018,0.5625,-0.0024,-1.8181,-2.1387,-1.6356,0.8531,1.3188,-1.3556,0.5588,-2.2912,-0.875,0.1141,0.5839,-0.9318
U00028,0.233,0.1624,0.104,0.1836,0.2867,0.0302,neutral,186.3,43.34,0.409,125.2,0.148,0.0266,0.048,-1.2816,-0.1908,-0.05,-0.2458,-0.874,-1.6986,-1.0292,-0.817,0.5243,-0.1328,0.253,-1.4294,-0.5544,0.7503,-1.5781,1.3872
U00029,0.2263,0.1961,0.0958,0.184,0.2511,0.0467,neutral,165.2,43.51,0.372,148.0,0.267,0.0168,0.0391,0.1868,-0.4216,-0.6292,0.375,1.6877,-0.3924,-1.6937,-0.6386,0.2738,-0.7184,-1.8027,-0.1097,-0.5645,-0.9925,-0.0876,0.5349
U00030,0.2853,0.1516,0.1228,0.0903,0.2509,0.0991,calm,181.0,25.59,0.473,130.3,0.19,0.006,0.0299,-0.563,-1.5882,0.5233,-0.2586,2.2965,-0.9491,1.7012,-0.032,-0.5613,-1.0731,-1.4199,-0.7301,-0.826,-0.5076,-0.8198,0.8061
U00031,0.1636,0.1926,0.1707,0.1693,0.3027,0.001,neutral,186.4,34.57,0.406,168.8,0.367,0.0202,0.0482,1.2935,-0.7303,-0.8522,-0.6283,-0.687,-0.2557,-0.493,-2.7066,-0.3011,-0.0863,-0.0992,-1.2209,-1.9498,0.5854,-0.8963,-1.0043
U00032,0.1982,0.1735,0.1632,0.1584,0.2714,0.0353,neutral,179.0,31.7,0.52,133.0,0.271,0.018,0.0465,-0.764,-1.2086,-0.3333,-0.821,-0.9629,-0.6164,0.2507,-1.1944,1.3335,0.1775,-0.802,0.3752,-1.2246,-0.1803,0.0968,0.3151
U00033,0.2968,0.0806,0.1104,0.1502,0.2875,0.0744,calm,176.3,35.21,0.431,139.6,0.09,0.0175,0.022,0.0676,-0.7176,0.3334,0.8985,-0.2239,0.7055,0.5253,0.187,0.8254,2.1928,1.183,-1.6398,-1.4276,-0.1415,-2.0776,-0.2009
U00034,0.2177,0.1583,0.1494,0.1395,0.288,0.0472,neutral,187.2,23.53,0.415,150.7,0.18,0.0109,0.046,-0.2741,-0.7035,0.445,-1.128,-3.4193,1.1393,-1.4124,1.4355,-0.7873,-2.1125,-1.1608,0.1443,1.3297,0.669,0.7868,-1.4899
U00035,0.2466,0.1397,0.1768,0.1488,0.2723,0.0158,neutral,199.4,29.17,0.563,140.3,0.183,0.0166,0.0397,-1.5279,1.2404,-0.4824,0.5857,-0.3921,-1.1526,-0.4714,0.2796,2.1396,0.739,-0.8179,-1.7914,-0.2454,-0.2182,0.715,1.0473
U00036,0.272,0.1202,0.0875,0.1165,0.2691,0.1348,calm,185.6,29.11,0.619,171.9,0.217,0.0128,0.0308,-0.9176,1.1438,1.1463,-2.1468,-0.8897,0.6781,-0.5395,0.5173,-1.0311,-0.8749,-1.1899,-0.1538,-0.0422,-1.251,-1.0722,-0.4707
U00037,0.2925,0.0782,0.1196,0.0887,0.3079,0.1132,neutral,162.1,34.22,0.565,151.2,0.091,0.0145,0.0136,-0.1473,-0.8568,-0.4323,-1.422,-0.7253,-1.1237,-1.5127,0.5125,-0.7338,-0.2256,0.3411,0.2636,-0.166,-0.7075,-0.4132,0.1689
U00038,0.244,0.1329,0.1833,0.149,0.266,0.0248,neutral,188.9,31.68,0.572,146.8,0.231,0.0247,0.0364,-1.2539,-0.3762,-1.0599,-0.0838,-0.7793,-0.1505,-1.3789,1.3239,-0.9815,0.9489,-1.8339,1.314,-0.6103,-0.7201,-3.0131,-1.8107
U00039,0.2301,0.1183,0.1554,0.1296,0.2943,0.0722,neutral,121.0,30.66,0.706,159.6,0.237,0.0139,0.0506,0.317,-0.4319,0.0857,0.5387,0.9864,-1.6762,-0.1416,0.6994,-0.8544,-0.4648,1.372,-0.036,-1.0202,-1.6951,-0.3821,-0.8578
U00040,0.2609,0.1355,0.1618,0.1444,0.2552,0.0422,calm,211.9,40.55,0.508,132.7,0.275,0.015,0.0346,-1.2563,-0.9048,-1.4101,-1.1572,2.3669,-2.1661,0.5562,0.1662,-1.9089,0.501,1.7613,-0.3269,0.6138,-0.4608,0.1034,-2.1872
U00041,0.1765,0.1957,0.1501,0.2161,0.2467,0.0149,neutral,185.7,34.39,0.43,132.5,0.312,0.0206,0.0603,-0.972,-1.528,-0.3659,-0.3412,0.4128,-1.9109,-0.602,0.6281,0.3607,0.6523,-0.8818,-2.7317,-0.2778,-0.0592,-1.1881,-0.1717
U00042,0.2771,0.0984,0.1634,0.0899,0.3233,0.0479,neutral,188.0,33.45,0.523,161.8,0.254,0.0088,0.0359,0.4216,0.3635,0.3593,-0.1188,0.6817,0.6008,0.176,-0.3905,1.4718,-0.4861,-1.0629,-0.4833,-0.0087,-0.4861,-1.0128,-0.2898
